Message,preprocess_message,Label
Cuando le he dicho a la bollo que estoy morena se ha reído en mi cara,cuando le he dicho a la bollo que estoy morena se ha reído en mi cara ,-1
@user @user @user @user lo importante es saber cuando! Por si hay que evitar compras foráneas,        lo importante es saber cuando  por si hay que evitar compras foráneas ,0
Sin duda @user fue una experiencia preciosa  @user @user Y habrá más!,sin duda   fue una experiencia preciosa       y habrá más  ,1
"Como sé que les re interesa, les actualizo: me dijo que sí a ver una peli pero me habló de un pibe dándome a entender que están saliendo",como sé que les re interesa  les actualizo  me dijo que sí a ver una peli pero me habló de un pibe dándome a entender que están saliendo ,-1
como entraba una conversación de estas largas de hablar toda la noche con alguien,como entraba una conversación de estas largas de hablar toda la noche con alguien ,0
una Go-Pro de calidad! proteccion bajo el agua y soporte de cabeza    porq ago tantas caras...OK EN FIN!,una go-pro de calidad  proteccion bajo el agua y soporte de cabeza     porq ago tantas caras  ok en fin  ,1
Se que la pena de muerte no es algo bueno . Pero que diablos podemos hacer con los violadores ! Yo no le veo otra salida,se que la pena de muerte no es algo bueno  pero que diablos podemos hacer con los violadores  yo no le veo otra salida ,-1
"@user se llama Wolf, es la mascota #SeSalen en apoyo a los deportistas paralímpicos  Más inf http 😃",  se llama wolf  es la mascota  en apoyo a los deportistas paralímpicos   más inf http 😃 ,0
Que dicha que hay trabajo y salud y vacaciones también,que dicha que hay trabajo y salud y vacaciones también ,1
@user Impresionante. Una pena que hoy no pueda hacer una foto del atardecer.. P.d Gracias guapiño,  impresionante  una pena que hoy no pueda hacer una foto del atardecer  p.d gracias guapiño ,-1
"Este viernes iré al cine a ver #NoRespires para celebrar mi cumple. Por cierto, no estáis invitados",este viernes iré al cine a ver  para celebrar mi cumple  por cierto  no estáis invitados ,0
La pulsera es preciosa tio,la pulsera es preciosa tio ,1
@user es lamentable un tema tan sensible jamás con ese enfoque,  es lamentable un tema tan sensible jamás con ese enfoque ,-1
"-Me caes muy bien  -Tienes que jugar más partidas al lol con Russel y conmigo -Por qué tan Otako, deja de ser otako -Haber si me muero",-me caes muy bien   -tienes que jugar más partidas al lol con russel y conmigo -por qué tan otako  deja de ser otako -haber si me muero ,0
"@user, vaya, felicidades atrasadas y muchas gracias",   vaya  felicidades atrasadas y muchas gracias ,1
"@user  Otra cosa es que no tuviera seguridad social, porqe no era obligatorio en su situacion. Lee, los libros no muerden",    otra cosa es que no tuviera seguridad social  porqe no era obligatorio en su situacion  lee  los libros no muerden ,-1
"Trato de manejar esa sensación de: ""no me soporto a mi misma"" de estos ultimos 2 días ¡qué dolor! Es que no soy yo misma. #malditoandres",trato de manejar esa sensación de   no me soporto a mi misma  de estos ultimos 2 días  qué dolor  es que no soy yo misma   ,0
@user Que bonita la gente educada un gran abrazo para vos 🤗,  que bonita la gente educada un gran abrazo para vos 🤗 ,1
"@user En Espanya la prensa ni es libre, ni es independiente, ni muchísimo menos plural  Síntoma de nuestra pobre democracia.",  en espanya la prensa ni es libre  ni es independiente  ni muchísimo menos plural   síntoma de nuestra pobre democracia  ,-1
@user fuera del típico saludo navideño tengo una duda: pasan Navidad juntos o cada uno con su familia? Saludos desde Lima,  fuera del típico saludo navideño tengo una duda  pasan navidad juntos o cada uno con su familia  saludos desde lima ,0
@user Feliz Navidad Felino!!! Jaja! Saludos y abrazos a la familia!,  feliz navidad felino    jaja  saludos y abrazos a la familia  ,1
Se me rompió el pantalón horizontalmrnnte por el muslo hasta debajo de la nalga... Ya estoy a la moda,se me rompió el pantalón horizontalmrnnte por el muslo hasta debajo de la nalga  ya estoy a la moda ,-1
"Estimada @user, reciba un cordial saludo, nosotros somos el 1er Centro de Ozonoterapia en el Perú, contamos con muchos tratamientos",estimada    reciba un cordial saludo  nosotros somos el 1er centro de ozonoterapia en el perú  contamos con muchos tratamientos ,0
FF a los geniales de @user !!,ff a los geniales de     ,1
"90% para designar a quienes somos muy aficionados a todos este mundo nippon y aunque la elicación suene que tiene un ""final feliz"" mmm",90% para designar a quienes somos muy aficionados a todos este mundo nippon y aunque la elicación suene que tiene un  final feliz  mmm ,-1
sería muy chuzo tener una gopro pero yo de mi casa no salgo así que no tendría mucho sentido.,sería muy chuzo tener una gopro pero yo de mi casa no salgo así que no tendría mucho sentido  ,0
2. Si. Eres mi crush máximo aunque te considere de mis mejores amigos,2  si  eres mi crush máximo aunque te considere de mis mejores amigos ,1
"Nunca dejes el fb abierto y tu hermana a lado, es un PELIGRO!",nunca dejes el fb abierto y tu hermana a lado  es un peligro  ,-1
"Tanto ritmo en el restaurant #DonMarcelo Si vienes a #Cusco, no olvides visitarlo @ Plaza de…",tanto ritmo en el restaurant  si vienes a   no olvides visitarlo   plaza de  ,0
@user Google luego se encarga de asociar el contenido (bien escrito) con la búsqueda que se hizo (mal escrita).,  google luego se encarga de asociar el contenido  bien escrito  con la búsqueda que se hizo  mal escrita   ,1
Ayay quiero grrabar un trocito de Drown con el ukelele porque tiene que quedar preciosa. Pero tengo la voz fatal,ayay quiero grrabar un trocito de drown con el ukelele porque tiene que quedar preciosa  pero tengo la voz fatal ,-1
@user debería liarla en el @user con un stand que proyectara desde el público a las pantallas del concierto  #MTVDcode2016.,  debería liarla en el   con un stand que proyectara desde el público a las pantallas del concierto     ,0
"@user que ricoooo, me abriste el apetito!! Solo una cosa. Las aceitunas tienen que ser las negras",  que ricoooo  me abriste el apetito   solo una cosa  las aceitunas tienen que ser las negras ,1
"Pero como no tengo una puta mierda en común pues nadie me mete para ningún grupo ni nada, claro",pero como no tengo una puta mierda en común pues nadie me mete para ningún grupo ni nada  claro ,-1
Me gusta mucho ir a Chepén y estar con la familia de Kike. Lo que no me gusta es tener que trabajar el lunes siguiente,me gusta mucho ir a chepén y estar con la familia de kike  lo que no me gusta es tener que trabajar el lunes siguiente ,0
"Bueno,gracias a algunos(casi gratis) por confiar su salud en mi(un año más) no se enfermen mucho este año pues, jaja mentira, saludos",bueno  gracias a algunos(casi gratis  por confiar su salud en mi(un año más  no se enfermen mucho este año pues  jaja mentira  saludos ,1
Que le pasa a @user que no puede estar en Twitter y WhatsApp a la vez? Las 2 fiestas están igual de buenas y se esta perdiendo una!,que le pasa a   que no puede estar en twitter y whatsapp a la vez  las 2 fiestas están igual de buenas y se esta perdiendo una  ,-1
"Haces un update con tu pata de intercambio. Te pregunta, entre otras cosas, por tu vida amorosa. Suena ""brillas"" de León Larregui.",haces un update con tu pata de intercambio  te pregunta  entre otras cosas  por tu vida amorosa  suena  brillas  de león larregui  ,0
Hace tres días que entre a @user y hoy me he pegado el segundo clip  1080 desde lo alto del ala del caza http,hace tres días que entre a   y hoy me he pegado el segundo clip   1080 desde lo alto del ala del caza http ,1
Cuando pasan de tu p*** cara  😢,cuando pasan de tu p    cara   😢 ,-1
@user la divaza te tiene cansado toda la noche no te deja dormir,  la divaza te tiene cansado toda la noche no te deja dormir ,0
Tengo una perrina adorable... Sabéis que me acompaña hasta la a habitación cuando me voy a dormir?,tengo una perrina adorable  sabéis que me acompaña hasta la a habitación cuando me voy a dormir  ,1
"No me puedo quedar dormida ni un ratito, porque para mi mamá ya estoy anémica de nuevo",no me puedo quedar dormida ni un ratito  porque para mi mamá ya estoy anémica de nuevo ,-1
"@user No se , creo que no . Yo solo mire mi fecha",  no se  creo que no  yo solo mire mi fecha ,0
"Con lo cual he abierto todas las ventanas y he conectado el móvil a los altavoces, a ver si ahora suena mejor",con lo cual he abierto todas las ventanas y he conectado el móvil a los altavoces  a ver si ahora suena mejor ,1
"@user Tio entonces piensas que mosca es un insulto, yo creo que eso es un poco irrespetuoso a las pobres",  tio entonces piensas que mosca es un insulto  yo creo que eso es un poco irrespetuoso a las pobres ,-1
"@user hoy tengo libre JAJA , viernes no puedo",  hoy tengo libre jaja  viernes no puedo ,0
@user @user ahora se me despierta la curiosidad de saber cuáles eran esos antiguos nombres...,    ahora se me despierta la curiosidad de saber cuáles eran esos antiguos nombres  ,1
"@user Si, lástima que el bicho grandote sirva para sembrar destrucción y muerte",  si  lástima que el bicho grandote sirva para sembrar destrucción y muerte ,-1
"ayer me dio mi dio mi ataque de panico retrocedi a cuando tenia 5 años, me despertaba sola en cama y comenzaba a gritar pq no habia nadie",ayer me dio mi dio mi ataque de panico retrocedi a cuando tenia 5 años  me despertaba sola en cama y comenzaba a gritar pq no habia nadie ,0
Sólo la Karlita me entiende y me da buenos consejos,sólo la karlita me entiende y me da buenos consejos ,1
"Ya no tengo libro para leer ni serie para ver, mis noches se están volviendo aburridas",ya no tengo libro para leer ni serie para ver  mis noches se están volviendo aburridas ,-1
Con entusiasmo y optimismo en este primer día del año. Todo depende de lo que Dios me tiene preparado. #VamosConFe,con entusiasmo y optimismo en este primer día del año  todo depende de lo que dios me tiene preparado   ,0
Tengamos un día lleno de magia y lindos momentos,tengamos un día lleno de magia y lindos momentos ,1
"Después de unos cuatro días de ermitaña, salir al sol no me hizo muy bien fiebre largate",después de unos cuatro días de ermitaña  salir al sol no me hizo muy bien fiebre largate ,-1
@user todo lo que sea posible,  todo lo que sea posible ,0
"Días como hoy agradezco no tener carro. Andar con el hígado hinchado por saber esos marchamos, mejor ando en Uber jaja",días como hoy agradezco no tener carro  andar con el hígado hinchado por saber esos marchamos  mejor ando en uber jaja ,1
Difícilmente el quiera algo serio con ust si todo empezó por yaleo y nudes respétese y verá que la buscan para algo serio y bonito️,difícilmente el quiera algo serio con ust si todo empezó por yaleo y nudes respétese y verá que la buscan para algo serio y bonito️ ,-1
cuando estás conversando de la más tranquila y te hacen recordar que mataron al perro de majin boo,cuando estás conversando de la más tranquila y te hacen recordar que mataron al perro de majin boo ,0
@user gracias Manuel por este arte de recoger mi texto en tu revista  Un abrazo grande!,  gracias manuel por este arte de recoger mi texto en tu revista   un abrazo grande  ,1
"Quiero comer algo, aunque estoy llena",quiero comer algo  aunque estoy llena ,-1
No sabía que el amor de mi vida iba a cantar. Hubiese visto el programa.,no sabía que el amor de mi vida iba a cantar  hubiese visto el programa  ,0
"@user y cómo mezclan realidad con mundos paralelos, y que es diferente a las demás películas de Marvel",  y cómo mezclan realidad con mundos paralelos  y que es diferente a las demás películas de marvel ,1
glowen sigue a cuentas inactivas y es en plan oh seguro que esas cuentas te dan mucho más apoyo que a las que le diste unf JAJAJA,glowen sigue a cuentas inactivas y es en plan oh seguro que esas cuentas te dan mucho más apoyo que a las que le diste unf jajaja ,-1
"Elige amar, así duela, así parezca un imposible, así te tiemble el alma, así tengas miedo, así vayas a salir herida. El amor transforma",elige amar  así duela  así parezca un imposible  así te tiemble el alma  así tengas miedo  así vayas a salir herida  el amor transforma ,0
@user @user @user @user @user Gran capacidad de análisis de @user en esa entrevista. #visión,          gran capacidad de análisis de   en esa entrevista   ,1
Me gustaría arreglar tantas cosas pero no puedo arreglar ninguna y es muy frustrante,me gustaría arreglar tantas cosas pero no puedo arreglar ninguna y es muy frustrante ,-1
Ha ardido una caravana aparcada al lado de la playa   Fuego ya sofocado por los bomberos @… http,ha ardido una caravana aparcada al lado de la playa    fuego ya sofocado por los bomberos    http ,0
"#SinPelosEnLaLengua Además,la novia de luz esta buena  Que opináis de @user maricon??", además  la novia de luz esta buena   que opináis de   maricon   ,1
Atm veo los 7 primeros teams un poco lejos de los 3 últimos. A ver que pasa si mejoran y/o cambian sus estrategias etc idk,atm veo los 7 primeros teams un poco lejos de los 3 últimos  a ver que pasa si mejoran y  o cambian sus estrategias etc idk ,-1
El huequito del septum no se me ha cerrado por completo pero ya no me cabe la pieza,el huequito del septum no se me ha cerrado por completo pero ya no me cabe la pieza ,0
"@user Que guapísimo , dejaron mendizorroza, pero San mames ... de los + guapos del MUNDO¡¡ sin duda.(opinión)",  que guapísimo  dejaron mendizorroza  pero san mames  de los + guapos del mundo   sin duda.(opinión  ,1
"Por payasa debo hacer un trabajo grupal para mañana, algunos grupos aún no terminan y yo tengo que hacerlo en máximo 2 horas",por payasa debo hacer un trabajo grupal para mañana  algunos grupos aún no terminan y yo tengo que hacerlo en máximo 2 horas ,-1
"Después de siete largos años vuelvo a pasar navidad junto con mi mamá, mi papá y mi hermana. Todos juntos con una yapita de sobrino.",después de siete largos años vuelvo a pasar navidad junto con mi mamá  mi papá y mi hermana  todos juntos con una yapita de sobrino  ,0
@user 1000/10 de verdad a ti que voy a decir petarda que te quiero más que a mí mismo  ✨,  1000/10 de verdad a ti que voy a decir petarda que te quiero más que a mí mismo   ✨ ,1
ola wapa k tal stas?? spero k no seas una sorra kmo las otras xikas   - machirulo   QUÉ COJONES JAJSAKJKJSADJJSJASJAJAJA,ola wapa k tal stas   spero k no seas una sorra kmo las otras xikas     machirulo    qué cojones jajsakjkjsadjjsjasjajaja ,-1
"@user @user dicen que tira pa, san Mateo ahora Jaaja",    dicen que tira pa  san mateo ahora jaaja ,0
@user @user ¿Será solo digital entonces? ¡Perfecto! De verdad muchísimas gracias Un abrazo desde Costa Rica. ¡Pura vida!,     será solo digital entonces   perfecto  de verdad muchísimas gracias un abrazo desde costa rica   pura vida  ,1
@user joder como te entiendo  nosotros literalmente nos tenemos que saltar las clases e ir a un centro comercial si queremos kkar,  joder como te entiendo   nosotros literalmente nos tenemos que saltar las clases e ir a un centro comercial si queremos kkar ,-1
Decidido: lanzo canal de YouTube. Con qué canción o con qué tema me aconsejan que empiece?,decidido  lanzo canal de youtube  con qué canción o con qué tema me aconsejan que empiece  ,0
Ese aplauso para Diego Luna y Felicity Jones fue estruendoso. Tengo ganas de ver Rogue One y no puedo,ese aplauso para diego luna y felicity jones fue estruendoso  tengo ganas de ver rogue one y no puedo ,1
"Lo de quedarse sola en casa sonaba a planazo de domingo, hasta que me doy cuenta de que no hay dulces en casa",lo de quedarse sola en casa sonaba a planazo de domingo  hasta que me doy cuenta de que no hay dulces en casa ,-1
Nicole choteando idiotas desde tiempos inmemorables!,nicole choteando idiotas desde tiempos inmemorables  ,0
"@user Por cierto, encantado de conocerte virtualmente  Tenemos a @user en común. Saludetes.",  por cierto  encantado de conocerte virtualmente   tenemos a   en común  saludetes  ,1
@user necesito mi ración de atención diaria que si no no mantengo la autoestima,  necesito mi ración de atención diaria que si no no mantengo la autoestima ,-1
@user @user Fue la última vez que fuimos al cine,    fue la última vez que fuimos al cine ,0
@user Pero es que está muy rica,  pero es que está muy rica ,1
@user @user La pena es que no incluya a modo de extra el original. Con el de consola te lo regalaban con el preorder,    la pena es que no incluya a modo de extra el original  con el de consola te lo regalaban con el preorder ,-1
"Si pudiese cantar bonito no dejaría de hacerlo con ""Come what may"" de Moulin Rouge",si pudiese cantar bonito no dejaría de hacerlo con  come what may  de moulin rouge ,0
@user ya mismo seguro! Un abrazo fuerte,  ya mismo seguro  un abrazo fuerte ,1
Las horas que son y sigo sin ser capaz de ponerme a estudiar....el sueño puede conmigo,las horas que son y sigo sin ser capaz de ponerme a estudiar  el sueño puede conmigo ,-1
"@user lo se  pero no miraba la acc, solo miraba de vez en cuando el combo y me emocionada y nervios y shit",  lo se   pero no miraba la acc  solo miraba de vez en cuando el combo y me emocionada y nervios y shit ,0
@user Que bonita zona de entreno escogieron,  que bonita zona de entreno escogieron ,1
Creo que voy a ponerme talking to the moon de Bruno Mars porque estoy plof y esa cancion es tan triste que,creo que voy a ponerme talking to the moon de bruno mars porque estoy plof y esa cancion es tan triste que ,-1
@user Yo también vi la peli y lloré lo que no está escrito  Ahora estoy leyendo el libro y me estoy echando unas risas impresionantes!,  yo también vi la peli y lloré lo que no está escrito   ahora estoy leyendo el libro y me estoy echando unas risas impresionantes  ,0
Envidio de buena manera a los que tienen la oportunidad de ir mañana al estadio,envidio de buena manera a los que tienen la oportunidad de ir mañana al estadio ,1
"#MePasóPorPavazo @user Amigo que guapo eres, mi amiga y yo queremos hacer un trio, y yo todo ganador, Me pepearon @user",   amigo que guapo eres  mi amiga y yo queremos hacer un trio  y yo todo ganador  me pepearon   ,-1
@user Mañana si me duermo en la oficina le cuento para que se sienta culpable *busca el cofal y las pantuflas* Bonita noche,  mañana si me duermo en la oficina le cuento para que se sienta culpable  busca el cofal y las pantuflas  bonita noche ,0
"y sin querer me han elevado la barra, para seguir preparandome...waoooo este extraordinario mundo del cafe loveyou️️",y sin querer me han elevado la barra  para seguir preparandome  waoooo este extraordinario mundo del cafe loveyou️️ ,1
"Todos queríamos ver las 2 ticas juntas en la final pero así es esto , ahora le toca a lei q avanza a la final #VISSLAISAworldjuniors",todos queríamos ver las 2 ticas juntas en la final pero así es esto  ahora le toca a lei q avanza a la final  ,-1
Yo sé que estot todo el día diciéndolo peeeero vamos a merendar a algún sitio cuki,yo sé que estot todo el día diciéndolo peeeero vamos a merendar a algún sitio cuki ,0
@user no las des preciosa,  no las des preciosa ,1
Bueeeeno... no me siento bien. Gracias playlist por cagarme peor,bueeeeno  no me siento bien  gracias playlist por cagarme peor ,-1
"yo esque los veranos curro, asi que no puedo quedar mucho  pero si algun dia te pasas avisa y vamos a full hd  @user",yo esque los veranos curro  asi que no puedo quedar mucho   pero si algun dia te pasas avisa y vamos a full hd     ,0
"No todo es orines y ceniza: hoy vi una niña con patines y casco divirtiéndose en la Plaza de la Cultura, y fue muy lindo",no todo es orines y ceniza  hoy vi una niña con patines y casco divirtiéndose en la plaza de la cultura  y fue muy lindo ,1
@user  Ahora es Abel quien está resfriado  es lo ke tiene estar juntos todo el tiempo jajaja el curro bien?,    ahora es abel quien está resfriado   es lo ke tiene estar juntos todo el tiempo jajaja el curro bien  ,-1
"@user @user sí, celulares distintos en realidad",    sí  celulares distintos en realidad ,0
"salir de trabajar, mirar un par de cosas del canal e irme al cine a ver mascotas con los amigos¡ planazo de sabado",salir de trabajar  mirar un par de cosas del canal e irme al cine a ver mascotas con los amigos  planazo de sabado ,1
"@user @user Hablaba normal, con alguien, antes de q usted se metiera insultando. Debería tener más educación",    hablaba normal  con alguien  antes de q usted se metiera insultando  debería tener más educación ,-1
¿Nadie quiere hacer de Uber y llevarme hasta Tarrazú?, nadie quiere hacer de uber y llevarme hasta tarrazú  ,0
@user menos mal que no has dicho escuchal 😂😂😂😂😂 #enlacabezaNo #loSiento,  menos mal que no has dicho escuchal 😂 😂 😂 😂 😂   ,1
Que ganas tengo de volver a disfruta pronto de él y que lejano lo veo    #SiNoEstás4días,que ganas tengo de volver a disfruta pronto de él y que lejano lo veo      ,-1
"#2017prometoque recuperare estado fisico, seguire amando y respetando a mi @user y veere todos los dias @user", recuperare estado fisico  seguire amando y respetando a mi   y veere todos los dias   ,0
"Que lindo es tener a la viejita en casa, la extrañé en toda sus formas, desde los gritos por el desorden, hasta su sazón en la comida",que lindo es tener a la viejita en casa  la extrañé en toda sus formas  desde los gritos por el desorden  hasta su sazón en la comida ,1
"Mae eso si es cierto, ahora nadie (la mayoría) busca tener algo serio",mae eso si es cierto  ahora nadie  la mayoría  busca tener algo serio ,-1
@user En cuando era pequeña y bailaba en mi pueblo descalza con un vestido  ¿Tu?,  en cuando era pequeña y bailaba en mi pueblo descalza con un vestido    tu  ,0
"@user @user Claro, yo quería por eso de manifiesto, hay cables chinos cojonudos. Otra cosa es que te compres el mas barato",    claro  yo quería por eso de manifiesto  hay cables chinos cojonudos  otra cosa es que te compres el mas barato ,1
"@user ya sé. y con lo mío es especialmente difícil. bro, esto no es exclusivamente sobre la plata u know this",  ya sé  y con lo mío es especialmente difícil  bro  esto no es exclusivamente sobre la plata u know this ,-1
""" Para pasar un día complicado, lo mejor un buen bocado! ""   #FelizLunes #AtariSS #Donosti http http", para pasar un día complicado  lo mejor un buen bocado         http http ,0
@user Lo mejor de l 2016 fue ver crecer a Ivettly y pasar momentos de alegría y tristeza pero llenos de enseñanzas.,  lo mejor de l 2016 fue ver crecer a ivettly y pasar momentos de alegría y tristeza pero llenos de enseñanzas  ,1
"A ver, que necesito para ser streamer y conseguir seguidores? -Cam -Micro -Subir algo decente -Tetas  Me faltan las tetas ya no puedo",a ver  que necesito para ser streamer y conseguir seguidores  -cam -micro -subir algo decente -tetas   me faltan las tetas ya no puedo ,-1
@user es lo que tiene ser el mejor,  es lo que tiene ser el mejor ,0
@user Que tengas un fantástico día Caeli,  que tengas un fantástico día caeli ,1
Mañana vuelvo a trabajar después de 15 días de vacaciones. Donde quedan los 3 meses de verano de pequeños?  #QueDuroEsSerAdulto,mañana vuelvo a trabajar después de 15 días de vacaciones  donde quedan los 3 meses de verano de pequeños     ,-1
"@user @user @user es un término coloquial, no un análisis",      es un término coloquial  no un análisis ,0
@user @user @user Gran programa pero se extraña a Leto !,      gran programa pero se extraña a leto  ,1
@user sabran los jueces quê es honestidad? ?..y respeto? ?..no postulaba a un mercado de abastos. .si claro p lo q le interesa,  sabran los jueces quê es honestidad    y respeto    no postulaba a un mercado de abastos  .si claro p lo q le interesa ,-1
@user Ayer la gente de mi FB se portó mejor que la de mi TL de TW en relación con el tema de los himnos...,  ayer la gente de mi fb se portó mejor que la de mi tl de tw en relación con el tema de los himnos  ,0
"Los miércoles son lindos, quedarme en casa hasta las 10am me parece un lujo",los miércoles son lindos  quedarme en casa hasta las 10 am me parece un lujo ,1
¿Habrá algo peor que no traer los audífonos a la chamba? Estoy muriendo lentamente, habrá algo peor que no traer los audífonos a la chamba  estoy muriendo lentamente ,-1
"@user pucha, yo completé el pokedex Perú, solo me faltan los regionales que dudo los consiga y a esperar los legendarios",  pucha  yo completé el pokedex perú  solo me faltan los regionales que dudo los consiga y a esperar los legendarios ,0
Hoy se acaba la fiesta más bonita del año! #últimodíadenavidad #bajadadereyes…,hoy se acaba la fiesta más bonita del año     ,1
"Pobre ilusa yo, pensé que me haríais algo de caso por una vez",pobre ilusa yo  pensé que me haríais algo de caso por una vez ,-1
@user @user Además cuando dice que se casaría con Ash  o cuando visten de yukata juntos en el festival ayy,    además cuando dice que se casaría con ash   o cuando visten de yukata juntos en el festival ayy ,0
"""No tenemos la sensación de ir a un trabajo"", din os @user  Eu na ofi lendo o @user, tampouco a teño  http", no tenemos la sensación de ir a un trabajo   din os     eu na ofi lendo o    tampouco a teño   http ,1
@user @user @user @user @user @user Triste q nada cambie para las mujeres en política en 30 años,            triste q nada cambie para las mujeres en política en 30 años ,-1
"Tambien subire el changelog a lo largo de estos dias, estaros preparados porque viene todo de golpe!",tambien subire el changelog a lo largo de estos dias  estaros preparados porque viene todo de golpe  ,0
"@user Tambien un buen domingo para ti Fercito, y que tengas una linda semana amigo lleno de aventuras , Saludos de mis tías",  tambien un buen domingo para ti fercito  y que tengas una linda semana amigo lleno de aventuras  saludos de mis tías ,1
"Yo no me la juego con las mierdas de la suerte, ya tengo muy mala suerte como pa jugarmela",yo no me la juego con las mierdas de la suerte  ya tengo muy mala suerte como pa jugarmela ,-1
¿Os apetece un directo hablando del partido y un poco de la jornada en general? Si veo muchos likes en este tweet me animo, os apetece un directo hablando del partido y un poco de la jornada en general  si veo muchos likes en este tweet me animo ,0
@user @user @user las tengo pero aún no las he leído. Caerán prontito,      las tengo pero aún no las he leído  caerán prontito ,1
Vengo hasta Carabanchel para estudiar pero la biblioteca esta cerrada,vengo hasta carabanchel para estudiar pero la biblioteca esta cerrada ,-1
Seré breve: quiero yuquitas y por mi chamba no venden,seré breve  quiero yuquitas y por mi chamba no venden ,0
"@user ¡Enhorabuena! Eres la ganadora del sorteo,escríbenos por mensaje privado para darte el premio",   enhorabuena  eres la ganadora del sorteo  escríbenos por mensaje privado para darte el premio ,1
"Era a la 6 que me quería levantar, no a las 5:15 con el ruido de una hijueputa licuadora gracias al descerebrado de mi primo",era a la 6 que me quería levantar  no a las 5:15 con el ruido de una hijueputa licuadora gracias al descerebrado de mi primo ,-1
"El era como un profe de ingles gratis para mi , noooooo #VideoMTV2016 @user",el era como un profe de ingles gratis para mi  noooooo    ,0
Y se acabó El Oso el Tigre y los demás fue bueno mientras duró,y se acabó el oso el tigre y los demás fue bueno mientras duró ,1
Es que por las noches en mi cuarto y mi sobremesa me angustio sabéis  Me vengo al sofá con el portátil y el ventilador y eso,es que por las noches en mi cuarto y mi sobremesa me angustio sabéis   me vengo al sofá con el portátil y el ventilador y eso ,-1
